reading_id,meter_id,ts,kwh,read_type,source_system
RD-000000625,MTR-200001,14/10/2024 00:00,0.1117,A,legacy_hh_v1
RD-000002065,MTR-200002,14/10/2024 00:00,0.1015,A,legacy_hh_v1
RD-000003505,MTR-200003,14/10/2024 00:00,0.0619,A,legacy_hh_v1
RD-000004945,MTR-200004,14/10/2024 00:00,0.0432,E,legacy_hh_v1
RD-000006385,MTR-200005,14/10/2024 00:00,0.0578,E,legacy_hh_v1
RD-000007825,MTR-200006,14/10/2024 00:00,0.1069,A,legacy_hh_v1
RD-000009265,MTR-200007,14/10/2024 00:00,0.0935,A,legacy_hh_v1
RD-000010705,MTR-200008,14/10/2024 00:00,0.1266,A,legacy_hh_v1
RD-000012145,MTR-200009,14/10/2024 00:00,0.0828,A,legacy_hh_v1
RD-000013585,MTR-200010,14/10/2024 00:00,0.094,A,legacy_hh_v1
RD-000015025,MTR-200011,14/10/2024 00:00,0.1212,A,legacy_hh_v1
RD-000016465,MTR-200012,14/10/2024 00:00,0.0844,E,legacy_hh_v1
RD-000017905,MTR-200013,14/10/2024 00:00,0.0453,A,legacy_hh_v1
RD-000019345,MTR-200014,14/10/2024 00:00,0.088,A,legacy_hh_v1
RD-000020785,MTR-200015,14/10/2024 00:00,0.0898,A,legacy_hh_v1
RD-000022225,MTR-200016,14/10/2024 00:00,0.1304,A,legacy_hh_v1
RD-000023665,MTR-200017,14/10/2024 00:00,0.0496,A,legacy_hh_v1
RD-000025105,MTR-200018,14/10/2024 00:00,0.099,A,legacy_hh_v1
RD-000026545,MTR-200019,14/10/2024 00:00,0.0996,A,legacy_hh_v1
RD-000027985,MTR-200020,14/10/2024 00:00,0.1358,E,legacy_hh_v1
RD-000029425,MTR-200021,14/10/2024 00:00,0.0567,A,legacy_hh_v1
RD-000030865,MTR-200022,14/10/2024 00:00,2.535329868346922,A,legacy_hh_v1
RD-000032305,MTR-200023,14/10/2024 00:00,0.0959,A,legacy_hh_v1
RD-000033745,MTR-200024,14/10/2024 00:00,0.0636,A,legacy_hh_v1
RD-000035185,MTR-200025,14/10/2024 00:00,0.0383,A,legacy_hh_v1
RD-000038065,MTR-200027,14/10/2024 00:00,0.0747,A,legacy_hh_v1
RD-000039505,MTR-200028,14/10/2024 00:00,0.0582,A,legacy_hh_v1
RD-000040945,MTR-200029,14/10/2024 00:00,0.103,A,legacy_hh_v1
RD-000042385,MTR-200030,14/10/2024 00:00,0.076,A,legacy_hh_v1
RD-000043825,MTR-200031,14/10/2024 00:00,0.054,A,legacy_hh_v1
RD-000045265,MTR-200032,14/10/2024 00:00,0.1183,A,legacy_hh_v1
RD-000046705,MTR-200033,14/10/2024 00:00,0.0886,A,legacy_hh_v1
RD-000048145,MTR-200034,14/10/2024 00:00,0.1187,A,legacy_hh_v1
RD-000049585,MTR-200035,14/10/2024 00:00,0.062,A,legacy_hh_v1
RD-000051025,MTR-200036,14/10/2024 00:00,0.0358,A,legacy_hh_v1
RD-000052465,MTR-200037,14/10/2024 00:00,0.1218,A,legacy_hh_v1
RD-000053905,MTR-200038,14/10/2024 00:00,0.0922,A,legacy_hh_v1
RD-000055345,MTR-200039,14/10/2024 00:00,0.0656,A,legacy_hh_v1
RD-000056785,MTR-200040,14/10/2024 00:00,0.1326,A,legacy_hh_v1
RD-000058225,MTR-200041,14/10/2024 00:00,0.1072,A,legacy_hh_v1
RD-000059665,MTR-200042,14/10/2024 00:00,0.1031,A,legacy_hh_v1
RD-000061105,MTR-200043,14/10/2024 00:00,0.0713,A,legacy_hh_v1
RD-000062545,MTR-200044,14/10/2024 00:00,0.0833,A,legacy_hh_v1
RD-000063985,MTR-200045,14/10/2024 00:00,0.102,A,legacy_hh_v1
RD-000065425,MTR-200046,14/10/2024 00:00,0.1236,A,legacy_hh_v1
RD-000066865,MTR-200047,14/10/2024 00:00,0.1046,A,legacy_hh_v1
RD-000068305,MTR-200048,14/10/2024 00:00,0.0519,A,legacy_hh_v1
RD-000069745,MTR-200049,14/10/2024 00:00,0.0628,A,legacy_hh_v1
RD-000072625,MTR-200051,14/10/2024 00:00,0.0364,A,legacy_hh_v1
RD-000075505,MTR-200053,14/10/2024 00:00,0.1158,A,legacy_hh_v1
RD-000076945,MTR-200054,14/10/2024 00:00,0.0457,A,legacy_hh_v1
RD-000078385,MTR-200055,14/10/2024 00:00,0.1235,A,legacy_hh_v1
RD-000079825,MTR-200056,14/10/2024 00:00,0.0671,E,legacy_hh_v1
RD-000081265,MTR-200057,14/10/2024 00:00,0.1074,A,legacy_hh_v1
RD-000082705,MTR-200058,14/10/2024 00:00,0.0817,A,legacy_hh_v1
RD-000084145,MTR-200059,14/10/2024 00:00,0.0386,E,legacy_hh_v1
RD-000000626,MTR-200001,14/10/2024 00:30,0.0923,A,legacy_hh_v1
RD-000002066,MTR-200002,14/10/2024 00:30,0.0964,A,legacy_hh_v1
RD-000003506,MTR-200003,14/10/2024 00:30,0.0678,A,legacy_hh_v1
RD-000004946,MTR-200004,14/10/2024 00:30,0.0505,A,legacy_hh_v1
RD-000006386,MTR-200005,14/10/2024 00:30,0.0635,A,legacy_hh_v1
RD-000007826,MTR-200006,14/10/2024 00:30,0.1143,A,legacy_hh_v1
RD-000009266,MTR-200007,14/10/2024 00:30,0.0555,A,legacy_hh_v1
RD-000010706,MTR-200008,14/10/2024 00:30,0.0973,A,legacy_hh_v1
RD-000012146,MTR-200009,14/10/2024 00:30,0.1045,A,legacy_hh_v1
RD-000013586,MTR-200010,14/10/2024 00:30,0.0936,A,legacy_hh_v1
RD-000015026,MTR-200011,14/10/2024 00:30,0.1041,A,legacy_hh_v1
RD-000016466,MTR-200012,14/10/2024 00:30,0.0845,E,legacy_hh_v1
RD-000017906,MTR-200013,14/10/2024 00:30,0.044,A,legacy_hh_v1
RD-000019346,MTR-200014,14/10/2024 00:30,0.0656,A,legacy_hh_v1
RD-000022226,MTR-200016,14/10/2024 00:30,0.1031,A,legacy_hh_v1
RD-000023666,MTR-200017,14/10/2024 00:30,0.0486,A,legacy_hh_v1
RD-000025106,MTR-200018,14/10/2024 00:30,0.1101,A,legacy_hh_v1
RD-000026546,MTR-200019,14/10/2024 00:30,0.0834,A,legacy_hh_v1
RD-000027986,MTR-200020,14/10/2024 00:30,0.106,A,legacy_hh_v1
RD-000029426,MTR-200021,14/10/2024 00:30,0.0657,A,legacy_hh_v1
RD-000030866,MTR-200022,14/10/2024 00:30,0.0558,A,legacy_hh_v1
RD-000032306,MTR-200023,14/10/2024 00:30,0.0699,A,legacy_hh_v1
RD-000033746,MTR-200024,14/10/2024 00:30,0.0538,A,legacy_hh_v1
RD-000035186,MTR-200025,14/10/2024 00:30,0.0414,A,legacy_hh_v1
RD-000036626,MTR-200026,14/10/2024 00:30,0.0937,A,legacy_hh_v1
RD-000038066,MTR-200027,14/10/2024 00:30,0.0966,A,legacy_hh_v1
RD-000039506,MTR-200028,14/10/2024 00:30,0.0508,A,legacy_hh_v1
RD-000040946,MTR-200029,14/10/2024 00:30,0.0928,A,legacy_hh_v1
RD-000042386,MTR-200030,14/10/2024 00:30,0.0756,A,legacy_hh_v1
RD-000043826,MTR-200031,14/10/2024 00:30,0.054,A,legacy_hh_v1
RD-000045266,MTR-200032,14/10/2024 00:30,0.108,A,legacy_hh_v1
RD-000046706,MTR-200033,14/10/2024 00:30,0.0913,A,legacy_hh_v1
RD-000048146,MTR-200034,14/10/2024 00:30,0.1098,A,legacy_hh_v1
RD-000049586,MTR-200035,14/10/2024 00:30,0.0626,A,legacy_hh_v1
RD-000051026,MTR-200036,14/10/2024 00:30,0.0419,A,legacy_hh_v1
RD-000052466,MTR-200037,14/10/2024 00:30,0.1119,A,legacy_hh_v1
RD-000053906,MTR-200038,14/10/2024 00:30,0.1238,A,legacy_hh_v1
RD-000055346,MTR-200039,14/10/2024 00:30,0.0548,A,legacy_hh_v1
RD-000056786,MTR-200040,14/10/2024 00:30,0.1034,A,legacy_hh_v1
RD-000058226,MTR-200041,14/10/2024 00:30,0.1255,A,legacy_hh_v1
RD-000059666,MTR-200042,14/10/2024 00:30,0.0745,A,legacy_hh_v1
RD-000061106,MTR-200043,14/10/2024 00:30,0.0724,A,legacy_hh_v1
RD-000062546,MTR-200044,14/10/2024 00:30,0.0958,A,legacy_hh_v1
RD-000063986,MTR-200045,14/10/2024 00:30,0.1034,A,legacy_hh_v1
RD-000065426,MTR-200046,14/10/2024 00:30,0.1096,A,legacy_hh_v1
RD-000066866,MTR-200047,14/10/2024 00:30,0.0816,A,legacy_hh_v1
RD-000068306,MTR-200048,14/10/2024 00:30,0.0611,A,legacy_hh_v1
RD-000069746,MTR-200049,14/10/2024 00:30,0.0538,A,legacy_hh_v1
RD-000071186,MTR-200050,14/10/2024 00:30,0.0757,A,legacy_hh_v1
RD-000072626,MTR-200051,14/10/2024 00:30,0.0452,A,legacy_hh_v1
RD-000074066,MTR-200052,14/10/2024 00:30,0.1117,A,legacy_hh_v1
RD-000075506,MTR-200053,14/10/2024 00:30,0.1063,A,legacy_hh_v1
RD-000076946,MTR-200054,14/10/2024 00:30,0.0541,A,legacy_hh_v1
RD-000078386,MTR-200055,14/10/2024 00:30,0.1018,A,legacy_hh_v1
RD-000081266,MTR-200057,14/10/2024 00:30,0.0812,E,legacy_hh_v1
RD-000082706,MTR-200058,14/10/2024 00:30,0.0664,A,legacy_hh_v1
RD-000084146,MTR-200059,14/10/2024 00:30,0.0476,A,legacy_hh_v1
RD-000000627,MTR-200001,14/10/2024 01:00,0.0893,A,legacy_hh_v1
RD-000002067,MTR-200002,14/10/2024 01:00,0.1046,E,legacy_hh_v1
RD-000003507,MTR-200003,14/10/2024 01:00,0.0528,A,legacy_hh_v1
RD-000004947,MTR-200004,14/10/2024 01:00,0.0457,A,legacy_hh_v1
RD-000006387,MTR-200005,14/10/2024 01:00,0.057,A,legacy_hh_v1
RD-000007827,MTR-200006,14/10/2024 01:00,0.1177,A,legacy_hh_v1
RD-000009267,MTR-200007,14/10/2024 01:00,0.049,A,legacy_hh_v1
RD-000010707,MTR-200008,14/10/2024 01:00,0.0737,A,legacy_hh_v1
RD-000012147,MTR-200009,14/10/2024 01:00,0.0878,A,legacy_hh_v1
RD-000013587,MTR-200010,14/10/2024 01:00,0.1006,A,legacy_hh_v1
RD-000015027,MTR-200011,14/10/2024 01:00,0.0928,A,legacy_hh_v1
RD-000016467,MTR-200012,14/10/2024 01:00,0.0727,A,legacy_hh_v1
RD-000017907,MTR-200013,14/10/2024 01:00,0.0315,A,legacy_hh_v1
RD-000019347,MTR-200014,14/10/2024 01:00,0.0812,A,legacy_hh_v1
RD-000020787,MTR-200015,14/10/2024 01:00,0.0825,A,legacy_hh_v1
RD-000022227,MTR-200016,14/10/2024 01:00,0.0781,A,legacy_hh_v1
RD-000023667,MTR-200017,14/10/2024 01:00,0.0427,A,legacy_hh_v1
RD-000025107,MTR-200018,14/10/2024 01:00,0.097,A,legacy_hh_v1
RD-000026547,MTR-200019,14/10/2024 01:00,0.0879,A,legacy_hh_v1
RD-000027987,MTR-200020,14/10/2024 01:00,0.1324,A,legacy_hh_v1
RD-000029427,MTR-200021,14/10/2024 01:00,0.0591,A,legacy_hh_v1
RD-000030867,MTR-200022,14/10/2024 01:00,0.0801,A,legacy_hh_v1
RD-000032307,MTR-200023,14/10/2024 01:00,0.0646,A,legacy_hh_v1
RD-000033747,MTR-200024,14/10/2024 01:00,0.0481,A,legacy_hh_v1
RD-000035187,MTR-200025,14/10/2024 01:00,0.0341,A,legacy_hh_v1
RD-000036627,MTR-200026,14/10/2024 01:00,0.0669,A,legacy_hh_v1
RD-000038067,MTR-200027,14/10/2024 01:00,0.0667,A,legacy_hh_v1
RD-000039507,MTR-200028,14/10/2024 01:00,0.0599,A,legacy_hh_v1
RD-000040947,MTR-200029,14/10/2024 01:00,0.1065,A,legacy_hh_v1
RD-000042387,MTR-200030,14/10/2024 01:00,0.0602,A,legacy_hh_v1
RD-000043827,MTR-200031,14/10/2024 01:00,0.0686,A,legacy_hh_v1
RD-000045267,MTR-200032,14/10/2024 01:00,0.0882,A,legacy_hh_v1
RD-000046707,MTR-200033,14/10/2024 01:00,0.0942,A,legacy_hh_v1
RD-000048147,MTR-200034,14/10/2024 01:00,0.0817,A,legacy_hh_v1
RD-000049587,MTR-200035,14/10/2024 01:00,0.0539,A,legacy_hh_v1
RD-000051027,MTR-200036,14/10/2024 01:00,0.0364,A,legacy_hh_v1
RD-000052467,MTR-200037,14/10/2024 01:00,0.131,A,legacy_hh_v1
RD-000053907,MTR-200038,14/10/2024 01:00,0.0901,A,legacy_hh_v1
RD-000055347,MTR-200039,14/10/2024 01:00,0.0639,E,legacy_hh_v1
RD-000058227,MTR-200041,14/10/2024 01:00,0.1076,A,legacy_hh_v1
RD-000059667,MTR-200042,14/10/2024 01:00,0.0883,A,legacy_hh_v1
